City,Cloud Cover,Country,Date,Humidity,Latitude,Longitude,Max Temp,Temperature,Wind Speed
Sawankhalok,40,TH,1561524886,74,17.31,99.83,97.0,92.28,5.82
Atuona,0,PF,1561524547,77,-9.8,-139.03,80.87,80.87,19.01
Punta Arenas,90,CL,1561524548,96,-53.16,-70.91,32.0,32.0,3.36
Sibolga,48,ID,1561524665,71,1.74,98.78,82.85,82.85,2.77
Shitanjing,100,CN,1561524886,81,39.23,106.34,60.01,60.01,5.99
Ushuaia,75,AR,1561524510,92,-54.81,-68.31,30.2,30.2,5.82
Hobart,0,AU,1561524337,50,-42.88,147.33,57.2,56.23,8.05
Busselton,46,AU,1561524886,82,-33.64,115.35,63.0,63.0,21.0
Bathsheba,20,BB,1561524886,74,13.22,-59.52,80.6,80.6,19.46
Hilo,40,US,1561524886,58,19.71,-155.08,82.4,76.06,12.75
Arraial do Cabo,0,BR,1561524887,76,-22.97,-42.02,73.31,73.31,10.98
Castro,0,CL,1561524887,76,-42.48,-73.76,48.2,48.2,10.29
Hermanus,53,ZA,1561524887,90,-34.42,19.24,57.99,57.52,5.01
Barrow,50,AR,1561524887,52,-38.31,-60.23,40.37,40.37,14.45
Yellowknife,20,CA,1561524774,51,62.45,-114.38,62.6,62.6,3.36
Bredasdorp,77,ZA,1561524870,82,-34.53,20.04,60.8,58.5,11.41
Santa Isabel do Rio Negro,75,BR,1561524888,98,-0.41,-65.02,71.33,71.33,1.32
Kysyl-Syr,11,RU,1561524888,49,63.9,122.77,73.85,73.85,5.75
Puerto Ayora,10,EC,1561524888,86,-0.74,-90.35,71.69,71.69,8.32
Chuy,67,UY,1561524888,65,-33.69,-53.46,45.95,45.95,12.59
Ust-Kuyga,35,RU,1561524888,28,70.0,135.55,80.69,80.69,7.94
Rikitea,0,PF,1561524547,78,-23.12,-134.97,73.67,73.67,4.41
Khatanga,100,RU,1561524888,79,71.98,102.47,50.99,50.99,11.74
Severo-Kurilsk,100,RU,1561524888,93,50.68,156.12,42.89,42.89,18.9
Bluff,62,AU,1561524859,73,-23.58,149.07,63.59,63.59,24.74
Pangnirtung,0,CA,1561524889,55,66.15,-65.72,47.39,47.39,1.39
Mount Gambier,90,AU,1561524889,63,-37.83,140.78,60.8,60.8,16.11
Zhigansk,29,RU,1561524889,33,66.77,123.37,80.15,80.15,7.25
Vaini,75,IN,1561524889,83,15.34,74.49,77.0,77.0,6.93
Urengoy,67,RU,1561524889,46,65.96,78.37,53.51,53.51,6.55
Pandan,100,PH,1561524890,73,11.72,122.09,85.19,85.19,16.44
